email_subject,message_id,cc,from,received_time,reply_to,email_folder,email_attachment_names,email_body_clean
274659 - 1/1 - XX - URGENT! Application - [[12341111]] - Handover request,GMB41hgdlU6M3elw7w51,,f0nyxdwm@example.com,2022-08-24T20:56:05.922+0000,,archived,"[""cnnz.pdf"",""yuai.jpg""]","
Hi Tom,

Re: Job 12341111 

The above mentioned job should be processed by your team, is that correct? 
The application was received on 1st January 2021. 

Please use following link for handover document: 
Document Link [https://mycompany.sharepoint.com/:documents] 

Applicants details: 
Applicant: Jack Doe 
Mobile: 27492740372 
Address: 14 High Street, High Town, 1A 8H51 

Reason for Handover: 
What the applicant requests - meter replacement 

Please confirm via email. 

Best regards, 
Mary 

Senior Specialist 
mary.smith@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 

Our aim is to ensure high quality services. If your dissatisfied with our services, 
please let us know. Don't hesitate to contact us. [cid:logo-AKDYE-1-000004I2772AB]
"
Sent to ABC 18/09 - FW: Company Name - M20-12 Scheme,K3mVIqxJVX9pPS4BpriJ,,yvtvhnex@example.com,2022-10-26T22:38:26.687+0000,,forwarded,"[""jdou.png""]","
Hi team, 

Is this a task for you? 

Kind regards, 

 

James Smith 

Business Manager 

james.smith@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931  

Our aim is to ensure high quality services. If your dissatisfied with our services, 
please let us know. Don't hesitate to contact us. 



From: Mark Doe <mark.doe@companyname.com> 
Sent: Thursday, May 19, 2022 01:10 AM 
To: ABC Enquires <abc.enquiry@mycompany.com> 
Subject: FW: Company Name - M20-12 Scheme 

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 

I work for the Company Name on the M20-12 Scheme. Because of our constructions work, we need to modify 
the power supplies in the area. However, we have concerns around one supply which is already at full capacity. 
We could potentially need additional supplies, apart from the existing one. 

Please find attached the problematic location. 

postcode Y72 O90 - Location Link 
[https://url.location.com/v2/url?u=https-446A__www.google.com_maps_place_Arts94u2u492u=] 

Could we keep the original supply and add another 10kva to the existing transformer? 

Mark Doe 
Specialist 
Company Name 

[cid:image002.jpg@04nd630] 

www.companyname.com [companyname.com] 
[https://url.google.com/v2/url?u=http-3A__www.companyname.com] 



-------------------------------------------------------------------------------- 

NOTICE: This communication and any attachments may contain 
information which is confidential. This message is for the sole use 
of the recipient."
FW: A72 Form Returned: App form + sent to confirm + 1/8  +  Already raised under 1874651 + 3/8,H4sKoMDK99MK4A9Sdqew,v5fchs45@example.com,v5fchs45@example.com,2022-08-31T20:01:37.489+0000,,forwarded,"[""ekmf.png"",""iyuw.pdf"",""uwum.jpg""]","Hi Mary, 

Could you look at the attached message? I think it was intended for your team. 

Many thanks, 
Joe 

 

Joe Jones 

Technical Manager 

joe.jones@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 



From: Janet Smith <janet.s@energy.com> 
Sent: Monday, October 28, 2023 02:12 PM 
To: ABC Enquires <abc.enquiry@mycompany.com> 
Subject: A72 Form Returned: App form 

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 

Good afternoon, 

I would like to enquire about the status of my application. I would appreciate if you could prepare 
the quote this week. It is necessary for me to apply for funding. I'm forwarding my application. 

Kind regards, 

Janet Smith 


> > Begin forwarded message:
> > 
> > 
> > 
> > From: ""janet.s@energy.com"" <janes.s@energy.com>
> > 
> > Subject: A72 Form Returned: App form 
> > 
> > Date: 22 October 2023 at 10:24:57 CST
> > 
> > To: automatic-reply@mycompany.com
> > > 
> > > 
> > > 
> > > The attachment is a filled-out form. Please open it to review the
> > > content."
Application - [[1234102]] - Handover request,DsDZDgtaE3Rc0VggZrAr,,lzyoeb87@test.com,2022-04-25T11:53:05.908+0000,,inbox,"[""aozh.jpg"",""bxzp.png""]","Good morning, 

Re: Job 1234102 

I think this job should be processed by your team. The application was received on 21st April 2023. 

Please use following link for handover document: 
Document Link [https://mycompany.sharepoint.com/:documents] 

Applicants details: 
Applicant: Mary Doe 
Mobile: 27492740372 
Email: info@marydoe.co 
Address: 14 High Street, High Town, 1A 8H51 

Reason for Handover: 
What the applicant requests - upgrade 
Why is it being handed over - Location limitations 

Please confirm via email. 

Kind regards, 
James 

Specialist 
james.smith@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 

Our aim is to ensure high quality services. If your dissatisfied with our services, 
please let us know. Don't hesitate to contact us. [cid:logo-AKDYE-1-000004I2772AB]
"
3750285 - 15th April - FW: Customer confirmation A72 quote 10/04 XYZ Application274659 - 9/1 - Application [[4721234]] - Handover request,Zh1I160dc0pJm9a1FaLP,qfxepiii@example.com,qfxepiii@example.com,2022-03-28T17:25:16.298+0000,,archived,"[""snpf.pdf"",""zmtm.jpg"",""jpdm.jpg"",""arjy.pdf"",""sled.png"",""mevo.jpg"",""pxcc.png"",""jclo.png"",""ursz.pdf"",""remy.pdf""]","Hi Lucy, 

Could your team prepare an A72 quote for this customer? We got their confirmation. 
Please find the email attached. 

Many thanks, 
Joe 

 

Joe Jones 

Technical Manager 

joe.jones@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 



From: Jack Doe <jack.doe@energy.com> 
Sent: Monday, April 10, 2023 04:02 PM 
To: ABC Enquires <abc.enquiry@mycompany.com> 
Subject: Customer confirmation A72 quote 10/04 XYZ 

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 

Good afternoon, 

Please find attached a grid application to connect a 15mw system to the 20kva infrastructure. 

Kind regards, 

Jack Doe 

Ms Engineer 
johndoe@energy.com 
[https://energy.com/] Energy 
5 Low Street, High Town, A29 931
[cid:image002.png@529752759sds.sfs9i35][facebook.com]"
"High Street, A9274 B2",AF77pNVplOmoXIimC3Nl,,4t69qdvg@mydomain.com,2022-12-18T08:06:54.237+0000,,inbox,"[""pxae.png"",""aebm.jpg"",""kdcq.jpg"",""oewk.jpg""]","Hi team, 

 

Could you tell me who would be responsible for meter changes? 

 

Best Regards

 

John

 



 

John Doe

 

Customer Advisor

 

john.doe@mycompany.com 

 

[https://mycompany.com/] MyCompany

 

5 High Street, High Town, A29 931 

 



 

From: Jane Smith <jane.smith@mobile.uk> 

 

Sent: Thursday, May 19, 2022 01:10 AM 

 

To: John, Doe <john.doe@mycompany.com> 

 

Subject: FW: High Street, A9274 B2 

 



 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 



 

 Hi John 

 

My meter needs renewal. Are you the right person to help me with that or could you 
point me to the correct team? 

 

thanks, 

 

Jane 

 



 

****************************************************************************************************************************************************************

 

The content of this email (and any attachment) is confidential. 
If you have received this email by mistake, please notify us by emailing the 
sender, and then delete the email and any copies from your system. 

 

****************************************************************************************************************************************************************"
274659 - 1/1 - XX - URGENT! Application - [[12341111]] - Handover request,stPd9X1k0kytIUmh89gi,,u4sdejhp@mydomain.com,2022-08-25T23:59:18.723+0000,,archived,"[""aijv.png"",""asvk.pdf""]","
Hi Tom,

Re: Job 12341111 

The above mentioned job should be processed by your team, is that correct? 
The application was received on 1st January 2021. 

Please use following link for handover document: 
Document Link [https://mycompany.sharepoint.com/:documents] 

Applicants details: 
Applicant: Jack Doe 
Mobile: 27492740372 
Address: 14 High Street, High Town, 1A 8H51 

Reason for Handover: 
What the applicant requests - meter replacement 

Please confirm via email. 

Best regards, 
Mary 

Senior Specialist 
mary.smith@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 

Our aim is to ensure high quality services. If your dissatisfied with our services, 
please let us know. Don't hesitate to contact us. [cid:logo-AKDYE-1-000004I2772AB]
"
FW: Customer request 1/8 || Fw: High Street A72 Enquiry,8OFjjfyxkSgmR5UeIVBM,demiu3pw@example.com,demiu3pw@example.com,2022-07-19T17:59:48.502+0000,,forwarded,null,"

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 
Good morning, 

 

I requested a budget estimate for 1 HV in the High Street Area a couple of weeks ago. However, nobody got in touch with me concerning the job and I haven't received the quote. It's the A72 Enquiry, job no. 223395595. Please let me know who I can contact about the budget estimate. 

 

Many thanks, 

John 

Engineer 
john@energy.com 
[https://energy.com/] Energy 
5 Low Street, High Town, A29 931

 



 

****************************************************************************************************************************************************************

 

The content of this email (and any attachment) is confidential. 
If you have received this email by mistake, please notify us by emailing the 
sender, and then delete the email and any copies from your system. 

 

****************************************************************************************************************************************************************
"
K094857 - G99 installation required,o4qqlF9ljfdlXqfjgQQC,ybyhhbfv@mydomain.com,ybyhhbfv@mydomain.com,2022-09-04T20:53:53.324+0000,,inbox,"[""vzac.pdf"",""oqkn.pdf"",""glov.pdf"",""wuju.pdf""]","

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 
Good morning, 

 

Please see attached the completed G99 form and appropriate documents. 
I would appreciate if you could reply to this email with a confirmation letter 
after it has been registered. 

 

thanks, 

Josh 

Engineer 
josh@energy.com 
[https://energy.com/] Energy 
5 High Street, High Town, A29 931 
[cid:logo-AKDYE-1-000004I2772AB] 

 



 

************************************ Disclaimer Notice ***********************************************

 

This message and any attachments are confidential and should only 
be read by those to whom they are addressed. If you are not the intended recipient, 
please contact us. 

 


"
Low Street AXU 184762,Swn7FtNLzTEz9aG6aNbQ,nnow7ryq@test.com,nnow7ryq@test.com,2022-07-31T13:30:26.143+0000,,inbox,"[""rfto.pdf"",""eibx.pdf"",""wxdp.png"",""sbqh.pdf"",""ajeg.jpg"",""cyfu.pdf"",""qdpc.png"",""vwji.pdf"",""gxxm.png""]","Hi, 

Please find the G99 form attached. 

Best, 
Mark 

 

Mark Jones 
Engineer 
mark.jones@mycompany.com 
[https://mycompany.com/] MyCompany 
5 High Street, High Town, A29 931 



From: Lucy Doe <lucy.doe@energy.com> 
Sent: Monday, December 4, 2023 04:02 PM 
To: ABC Enquires <abc.enquiry@mycompany.com> 
Subject: Low Street AXU 184762 

 

[External]: Please note this email has been sent to you by an external source. 
Please use caution when clicking on links or attachments. 

 

Good afternoon, 


Please find attached a G99 application with appropriate documents. 


Kind regards, 

Lucy Doe 

Ms Engineer 
lucydoe@energy.com 
[https://energy.com/] Energy 
5 Low Street, High Town, A29 931
"
